       284|        79|06.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Cic Sovukug                                                                                                                                                                                                                                                    |cic_sovukug@gmail.com                                                                                                                                                                                                                                          |12 Main Street, Eror City                                                                                                                                                                                                                                      |   1497,84
       306|        45|22.01.22|delivered                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Koxu Ahobe                                                                                                                                                                                                                                                     |koxu_ahobe@gmail.com                                                                                                                                                                                                                                           |25 Main Street, Aniyey City                                                                                                                                                                                                                                    |   3491,72
       134|        12|07.01.22|shipped                                                                                                                                                                                                                                                        |Order comment                                                                                                                                                                                                                                                  |Axama Ekucuto                                                                                                                                                                                                                                                  |axama_ekucuto@gmail.com                                                                                                                                                                                                                                        |28 Main Street, Cozaj City                                                                                                                                                                                                                                     |   2821,65
       138|        47|19.01.22|shipped                                                                                                                                                                                                                                                        |Order comment                                                                                                                                                                                                                                                  |Xoke Uyohi                                                                                                                                                                                                                                                     |xoke_uyohi@gmail.com                                                                                                                                                                                                                                           |27 Main Street, Rusag City                                                                                                                                                                                                                                     |   3740,31
       139|        76|29.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Row Bigip                                                                                                                                                                                                                                                      |row_bigip@gmail.com                                                                                                                                                                                                                                            |6 Main Street, Uzatow City                                                                                                                                                                                                                                     |      2054
       173|         8|28.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Vuw Uboba                                                                                                                                                                                                                                                      |vuw_uboba@gmail.com                                                                                                                                                                                                                                            |12 Main Street, Aver City                                                                                                                                                                                                                                      |   3280,76
       175|        38|21.01.22|processing                                                                                                                                                                                                                                                     |Order comment                                                                                                                                                                                                                                                  |Ogo Sabekik                                                                                                                                                                                                                                                    |ogo_sabekik@gmail.com                                                                                                                                                                                                                                          |17 Main Street, Eziya City                                                                                                                                                                                                                                     |   4838,32
       176|        57|26.01.22|processing                                                                                                                                                                                                                                                     |Order comment                                                                                                                                                                                                                                                  |Piv Abico                                                                                                                                                                                                                                                      |piv_abico@gmail.com                                                                                                                                                                                                                                            |12 Main Street, Efupop City                                                                                                                                                                                                                                    |   2550,84
       381|        88|07.01.22|returned                                                                                                                                                                                                                                                       |Order comment                                                                                                                                                                                                                                                  |Yayax Fepoxi                                                                                                                                                                                                                                                   |yayax_fepoxi@gmail.com                                                                                                                                                                                                                                         |27 Main Street, Urupaq City                                                                                                                                                                                                                                    |   1275,42
       567|        18|25.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Ale Feyiv                                                                                                                                                                                                                                                      |ale_feyiv@gmail.com                                                                                                                                                                                                                                            |2 Main Street, Esetop City                                                                                                                                                                                                                                     |   3316,88
       674|        45|13.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Koxu Ahobe                                                                                                                                                                                                                                                     |koxu_ahobe@gmail.com                                                                                                                                                                                                                                           |10 Main Street, Posaki City                                                                                                                                                                                                                                    |   3126,34
       467|        86|12.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Zowuv Itohom                                                                                                                                                                                                                                                   |zowuv_itohom@gmail.com                                                                                                                                                                                                                                         |25 Main Street, Ihem City                                                                                                                                                                                                                                      |    2550,1
       508|        58|05.01.22|processing                                                                                                                                                                                                                                                     |Order comment                                                                                                                                                                                                                                                  |Bul Ububeqa                                                                                                                                                                                                                                                    |bul_ububeqa@gmail.com                                                                                                                                                                                                                                          |31 Main Street, Adite City                                                                                                                                                                                                                                     |     246,2
      1287|        62|28.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Ofiy Qovoto                                                                                                                                                                                                                                                    |ofiy_qovoto@gmail.com                                                                                                                                                                                                                                          |5 Main Street, Eroro City                                                                                                                                                                                                                                      |    3201,2
      1165|        57|01.01.22|cancelled                                                                                                                                                                                                                                                      |Order comment                                                                                                                                                                                                                                                  |Piv Abico                                                                                                                                                                                                                                                      |piv_abico@gmail.com                                                                                                                                                                                                                                            |26 Main Street, Xalobo City                                                                                                                                                                                                                                    |   4070,04
      1169|        63|28.01.22|returned                                                                                                                                                                                                                                                       |Order comment                                                                                                                                                                                                                                                  |Fin Luquqa                                                                                                                                                                                                                                                     |fin_luquqa@gmail.com                                                                                                                                                                                                                                           |9 Main Street, Quqexo City                                                                                                                                                                                                                                     |   3198,32
